exp_name,model,training_time_sec,peak_rss_mb,macro_accuracy,error_rate,macro_f1,log_loss,cap,epochs,n_batches,train_rows,xgb_threads,xgb_rounds_per_batch
sgd_cap50000,Majority baseline,45.157098054885864,2409.61328125,0.3333333333333333,0.6666666666666667,0.2507036939309023,14.319899979082395,50000,2,26,1650018,,
sgd_cap50000,"SGD(partial_fit, balanced)",45.157098054885864,2409.61328125,0.5516486381875416,0.4483513618124584,0.4835563928159816,0.9047369432193905,50000,2,26,1650018,,
xgb_cap10000_thr1,Majority baseline,186.58470487594604,2432.40625,0.3333333333333333,0.6666666666666667,0.24999270854600075,14.41847053084691,10000,2,26,330018,1,50
xgb_cap10000_thr1,"XGB(incremental, balanced)",186.58470487594604,2432.40625,0.5588325835315698,0.44116741646843016,0.4481893273614166,1.2148960863925482,10000,2,26,330018,1,50
xgb_cap10000_thr2,Majority baseline,119.60011148452759,2391.97265625,0.3333333333333333,0.6666666666666667,0.24999270854600075,14.41847053084691,10000,2,26,330018,2,50
xgb_cap10000_thr2,"XGB(incremental, balanced)",119.60011148452759,2391.97265625,0.5588325835315698,0.44116741646843016,0.4481893273614166,1.2148960863925482,10000,2,26,330018,2,50
xgb_cap10000_thr4,Majority baseline,81.67690920829773,2433.078125,0.3333333333333333,0.6666666666666667,0.24999270854600075,14.41847053084691,10000,2,26,330018,4,50
xgb_cap10000_thr4,"XGB(incremental, balanced)",81.67690920829773,2433.078125,0.5588325835315698,0.44116741646843016,0.4481893273614166,1.2148960863925482,10000,2,26,330018,4,50
xgb_cap10000_thr8,Majority baseline,64.886301279068,2366.48046875,0.3333333333333333,0.6666666666666667,0.24999270854600075,14.41847053084691,10000,2,26,330018,8,50
xgb_cap10000_thr8,"XGB(incremental, balanced)",64.886301279068,2366.48046875,0.5588325835315698,0.44116741646843016,0.4481893273614166,1.2148960863925482,10000,2,26,330018,8,50
xgb_cap20000_thr1,Majority baseline,238.35975575447083,2398.79296875,0.3333333333333333,0.6666666666666667,0.24999635421983432,14.417965955020321,20000,2,26,660018,1,50
xgb_cap20000_thr1,"XGB(incremental, balanced)",238.35975575447083,2398.79296875,0.5679466050839187,0.4320533949160813,0.46753864388362615,1.132316021097891,20000,2,26,660018,1,50
xgb_cap20000_thr2,Majority baseline,151.94142365455627,2390.3046875,0.3333333333333333,0.6666666666666667,0.24999635421983432,14.417965955020321,20000,2,26,660018,2,50
xgb_cap20000_thr2,"XGB(incremental, balanced)",151.94142365455627,2390.3046875,0.5679466050839187,0.4320533949160813,0.46753864388362615,1.132316021097891,20000,2,26,660018,2,50
xgb_cap20000_thr4,Majority baseline,98.38081622123718,2426.2109375,0.3333333333333333,0.6666666666666667,0.24999635421983432,14.417965955020321,20000,2,26,660018,4,50
xgb_cap20000_thr4,"XGB(incremental, balanced)",98.38081622123718,2426.2109375,0.5679466050839187,0.4320533949160813,0.46753864388362615,1.132316021097891,20000,2,26,660018,4,50
xgb_cap20000_thr8,Majority baseline,75.52179551124573,2435.359375,0.3333333333333333,0.6666666666666667,0.24999635421983432,14.417965955020321,20000,2,26,660018,8,50
xgb_cap20000_thr8,"XGB(incremental, balanced)",75.52179551124573,2435.359375,0.5679466050839187,0.4320533949160813,0.46753864388362615,1.132316021097891,20000,2,26,660018,8,50
xgb_cap40000_thr1,Majority baseline,351.4017915725708,2467.859375,0.3333333333333333,0.6666666666666667,0.24999817709662533,14.417713658277052,40000,2,26,1320018,1,50
xgb_cap40000_thr1,"XGB(incremental, balanced)",351.4017915725708,2467.859375,0.5682499017631614,0.43175009823683863,0.4842655477617523,1.071818003694534,40000,2,26,1320018,1,50
xgb_cap40000_thr2,Majority baseline,208.39550924301147,2529.57421875,0.3333333333333333,0.6666666666666667,0.24999817709662533,14.417713658277052,40000,2,26,1320018,2,50
xgb_cap40000_thr2,"XGB(incremental, balanced)",208.39550924301147,2529.57421875,0.5682499017631614,0.43175009823683863,0.4842655477617523,1.071818003694534,40000,2,26,1320018,2,50
xgb_cap40000_thr4,Majority baseline,135.1743335723877,2472.546875,0.3333333333333333,0.6666666666666667,0.24999817709662533,14.417713658277052,40000,2,26,1320018,4,50
xgb_cap40000_thr4,"XGB(incremental, balanced)",135.1743335723877,2472.546875,0.5682499017631614,0.43175009823683863,0.4842655477617523,1.071818003694534,40000,2,26,1320018,4,50
xgb_cap40000_thr8,Majority baseline,99.40252685546875,2488.98046875,0.3333333333333333,0.6666666666666667,0.24999817709662533,14.417713658277052,40000,2,26,1320018,8,50
xgb_cap40000_thr8,"XGB(incremental, balanced)",99.40252685546875,2488.98046875,0.5682499017631614,0.43175009823683863,0.4842655477617523,1.071818003694534,40000,2,26,1320018,8,50
xgb_cap50000_thr1,Majority baseline,406.4248716831207,2512.49609375,0.3333333333333333,0.6666666666666667,0.2507036939309023,14.319899979082395,50000,2,26,1650018,1,50
xgb_cap50000_thr1,"XGB(incremental, balanced)",406.4248716831207,2512.49609375,0.5726855137951147,0.4273144862048853,0.4882602277955212,1.0586211539800394,50000,2,26,1650018,1,50
xgb_cap50000_thr2,Majority baseline,237.80661463737488,2431.3046875,0.3333333333333333,0.6666666666666667,0.2507036939309023,14.319899979082395,50000,2,26,1650018,2,50
xgb_cap50000_thr2,"XGB(incremental, balanced)",237.80661463737488,2431.3046875,0.5726855137951147,0.4273144862048853,0.4882602277955212,1.0586211539800394,50000,2,26,1650018,2,50
xgb_cap50000_thr4,Majority baseline,153.45541644096375,2541.49609375,0.3333333333333333,0.6666666666666667,0.2507036939309023,14.319899979082395,50000,2,26,1650018,4,50
xgb_cap50000_thr4,"XGB(incremental, balanced)",153.45541644096375,2541.49609375,0.5726855137951147,0.4273144862048853,0.4882602277955212,1.0586211539800394,50000,2,26,1650018,4,50
xgb_cap50000_thr8,Majority baseline,116.27668452262878,2462.234375,0.3333333333333333,0.6666666666666667,0.2507036939309023,14.319899979082395,50000,2,26,1650018,8,50
xgb_cap50000_thr8,"XGB(incremental, balanced)",116.27668452262878,2462.234375,0.5726855137951147,0.4273144862048853,0.4882602277955212,1.0586211539800394,50000,2,26,1650018,8,50
